compound	target(s)	cell type
GSK2126458	PI3K, mTor	NF2-/-
GSK2126458	PI3K, mTor	NF2-/-
GSK2126458	PI3K, mTor	NF2-/-
GSK2126458	PI3K, mTor	NF2-/-
GSK2126458	PI3K, mTor	NF2-/-
GSK2126458	PI3K, mTor	NF2-/-
GSK2126458	PI3K, mTor	NF2-/-
GSK2126458	PI3K, mTor	NF2-/-
GSK2126458	PI3K, mTor	NF2-/-
GSK2126458	PI3K, mTor	NF2-/-
GSK2126458	PI3K, mTor	NF2-/-
GSK2126458	PI3K, mTor	NF2-/-
GSK2126458	PI3K, mTor	NF2-/-
GSK2126458	PI3K, mTor	wt
GSK2126458	PI3K, mTor	wt
GSK2126458	PI3K, mTor	wt
GSK2126458	PI3K, mTor	wt
GSK2126458	PI3K, mTor	wt
GSK2126458	PI3K, mTor	wt
GSK2126458	PI3K, mTor	wt
GSK2126458	PI3K, mTor	wt
GW7647	PPARa	NF2 -/-
GW7647	PPARa	NF2 -/-
GW7647	PPARa	NF2 -/-
GW7647	PPARa	NF2 -/-
GW7647	PPARa	NF2 -/-
GW7647	PPARa	NF2 -/-
GW7647	PPARa	NF2 -/-
GW7647	PPARa	NF2 -/-
GW7647	PPARa	NF2 -/-
GW7647	PPARa	NF2 -/-
GW7647	PPARa	NF2 -/-
GW7647	PPARa	NF2 -/-
GW7647	PPARa	NF2 -/-
GW7647	PPARa	NF2 -/-
GW7647	PPARa	NF2 -/-
GW7647	PPARa	NF2 -/-
IC-87114	PI3K	NF2-/-
IC-87114	PI3K	NF2-/-
IC-87114	PI3K	NF2-/-
IC-87114	PI3K	NF2-/-
IC-87114	PI3K	NF2-/-
IC-87114	PI3K	NF2-/-
IC-87114	PI3K	NF2-/-
IC-87114	PI3K	NF2-/-
Imatinib	v-Abl, c-Kit, PDGFR	NF2 -/-
Imatinib	v-Abl, c-Kit, PDGFR	NF2 -/-
Imatinib	v-Abl, c-Kit, PDGFR	NF2 -/-
Imatinib	v-Abl, c-Kit, PDGFR	NF2 -/-
Imatinib	v-Abl, c-Kit, PDGFR	NF2 -/-
Imatinib	v-Abl, c-Kit, PDGFR	NF2 -/-
Imatinib	v-Abl, c-Kit, PDGFR	NF2 -/-
Imatinib	v-Abl, c-Kit, PDGFR	NF2 -/-
Imatinib	v-Abl, c-Kit, PDGFR	NF2 -/-
Imatinib	v-Abl, c-Kit, PDGFR	NF2 -/-
Imatinib	v-Abl, c-Kit, PDGFR	NF2 -/-
Imatinib	v-Abl, c-Kit, PDGFR	NF2 -/-
Imatinib	v-Abl, c-Kit, PDGFR	NF2 -/-
Imatinib	v-Abl, c-Kit, PDGFR	NF2 -/-
Imatinib	v-Abl, c-Kit, PDGFR	NF2 -/-
Imatinib	v-Abl, c-Kit, PDGFR	NF2 -/-
JNJ-26481585	HDAC	NF2-/-
JNJ-26481585	HDAC	NF2-/-
JNJ-26481585	HDAC	NF2-/-
JNJ-26481585	HDAC	NF2-/-
JNJ-26481585	HDAC	NF2-/-
JNJ-26481585	HDAC	NF2-/-
JNJ-26481585	HDAC	NF2-/-
JNJ-26481585	HDAC	NF2-/-
Ki8751	VEGFR	NF2-/-
Ki8751	VEGFR	NF2-/-
Ki8751	VEGFR	NF2-/-
Ki8751	VEGFR	NF2-/-
Ki8751	VEGFR	NF2-/-
Ki8751	VEGFR	NF2-/-
Ki8751	VEGFR	NF2-/-
Ki8751	VEGFR	NF2-/-
KW-2478	HSP90	NF2-/-
KW-2478	HSP90	NF2-/-
KW-2478	HSP90	NF2-/-
KW-2478	HSP90	NF2-/-
KW-2478	HSP90	NF2-/-
KW-2478	HSP90	NF2-/-
KW-2478	HSP90	NF2-/-
KW-2478	HSP90	NF2-/-
L663,536 (a.k.a. MK-886)	FLAP, leukotriene	NF2 -/-
L663,536 (a.k.a. MK-886)	FLAP, leukotriene	NF2 -/-
L663,536 (a.k.a. MK-886)	FLAP, leukotriene	NF2 -/-
L663,536 (a.k.a. MK-886)	FLAP, leukotriene	NF2 -/-
L663,536 (a.k.a. MK-886)	FLAP, leukotriene	NF2 -/-
L663,536 (a.k.a. MK-886)	FLAP, leukotriene	NF2 -/-
L663,536 (a.k.a. MK-886)	FLAP, leukotriene	NF2 -/-
L663,536 (a.k.a. MK-886)	FLAP, leukotriene	NF2 -/-
L663,536 (a.k.a. MK-886)	FLAP, leukotriene	NF2 -/-
L663,536 (a.k.a. MK-886)	FLAP, leukotriene	NF2 -/-
L663,536 (a.k.a. MK-886)	FLAP, leukotriene	NF2 -/-
L663,536 (a.k.a. MK-886)	FLAP, leukotriene	NF2 -/-
L663,536 (a.k.a. MK-886)	FLAP, leukotriene	NF2 -/-
L663,536 (a.k.a. MK-886)	FLAP, leukotriene	NF2 -/-
L663,536 (a.k.a. MK-886)	FLAP, leukotriene	NF2 -/-
L663,536 (a.k.a. MK-886)	FLAP, leukotriene	NF2 -/-
Lapatinib	EGFR, ErbB2	NF2 -/-
Lapatinib	EGFR, ErbB2	NF2 -/-
Lapatinib	EGFR, ErbB2	NF2 -/-
Lapatinib	EGFR, ErbB2	NF2 -/-
Lapatinib	EGFR, ErbB2	NF2 -/-
Lapatinib	EGFR, ErbB2	NF2 -/-
Lapatinib	EGFR, ErbB2	NF2 -/-
Lapatinib	EGFR, ErbB2	NF2 -/-
Lapatinib	EGFR, ErbB2	NF2 -/-
Lapatinib	EGFR, ErbB2	NF2 -/-
Lapatinib	EGFR, ErbB2	NF2 -/-
Lapatinib	EGFR, ErbB2	NF2 -/-
Lapatinib	EGFR, ErbB2	NF2 -/-
Lapatinib	EGFR, ErbB2	NF2 -/-
Lapatinib	EGFR, ErbB2	NF2 -/-
Lapatinib	EGFR, ErbB2	NF2 -/-
Lapatinib	EGFR, ErbB2	NF2-/-
Lapatinib	EGFR, ErbB2	NF2-/-
Lapatinib	EGFR, ErbB2	NF2-/-
Lapatinib	EGFR, ErbB2	NF2-/-
Lapatinib	EGFR, ErbB2	NF2-/-
Lapatinib	EGFR, ErbB2	NF2-/-
Lapatinib	EGFR, ErbB2	NF2-/-
Lapatinib	EGFR, ErbB2	NF2-/-
LDK378	ALK	NF2-/-
LDK378	ALK	NF2-/-
LDK378	ALK	NF2-/-
LDK378	ALK	NF2-/-
LDK378	ALK	NF2-/-
LDK378	ALK	NF2-/-
LDK378	ALK	NF2-/-
LDK378	ALK	NF2-/-
LDK378	ALK	NF2-/-
LDK378	ALK	NF2-/-
LDK378	ALK	NF2-/-
LDK378	ALK	NF2-/-
LDK378	ALK	NF2-/-
LDK378	ALK	NF2-/-
LDK378	ALK	NF2-/-
LDK378	ALK	NF2-/-
LDK378	ALK	wt
LDK378	ALK	wt
LDK378	ALK	wt
LDK378	ALK	wt
LDK378	ALK	wt
LDK378	ALK	wt
LDK378	ALK	wt
LDK378	ALK	wt
LGK-974	Porcupine	NF2-/-
LGK-974	Porcupine	NF2-/-
LGK-974	Porcupine	NF2-/-
LGK-974	Porcupine	NF2-/-
LGK-974	Porcupine	NF2-/-
LGK-974	Porcupine	NF2-/-
LGK-974	Porcupine	NF2-/-
LGK-974	Porcupine	NF2-/-
LX7101	LIMK2	NF2 -/-
LX7101	LIMK2	NF2 -/-
LX7101	LIMK2	NF2 -/-
LX7101	LIMK2	NF2 -/-
LX7101	LIMK2	NF2 -/-
LX7101	LIMK2	NF2 -/-
LX7101	LIMK2	NF2 -/-
LX7101	LIMK2	NF2 -/-
LX7101	LIMK2	NF2 -/-
LX7101	LIMK2	NF2 -/-
LX7101	LIMK2	NF2 -/-
LX7101	LIMK2	NF2 -/-
LX7101	LIMK2	NF2 -/-
LX7101	LIMK2	NF2 -/-
LX7101	LIMK2	NF2 -/-
LX7101	LIMK2	NF2 -/-
LY2801653	c-Met	NF2-/-
LY2801653	c-Met	NF2-/-
LY2801653	c-Met	NF2-/-
LY2801653	c-Met	NF2-/-
LY2801653	c-Met	NF2-/-
LY2801653	c-Met	NF2-/-
LY2801653	c-Met	NF2-/-
LY2801653	c-Met	NF2-/-
LY2801653	c-Met	NF2-/-
LY2801653	c-Met	NF2-/-
LY2801653	c-Met	NF2-/-
LY2801653	c-Met	NF2-/-
LY2801653	c-Met	NF2-/-
LY2801653	c-Met	NF2-/-
LY2801653	c-Met	NF2-/-
LY2801653	c-Met	NF2-/-
LY2801653	c-Met	wt
LY2801653	c-Met	wt
LY2801653	c-Met	wt
LY2801653	c-Met	wt
LY2801653	c-Met	wt
LY2801653	c-Met	wt
LY2801653	c-Met	wt
LY2801653	c-Met	wt
Masoprocol	Lipoxygenase	NF2 -/-
Masoprocol	Lipoxygenase	NF2 -/-
Masoprocol	Lipoxygenase	NF2 -/-
Masoprocol	Lipoxygenase	NF2 -/-
Masoprocol	Lipoxygenase	NF2 -/-
Masoprocol	Lipoxygenase	NF2 -/-
Masoprocol	Lipoxygenase	NF2 -/-
Masoprocol	Lipoxygenase	NF2 -/-
Masoprocol	Lipoxygenase	NF2 -/-
Masoprocol	Lipoxygenase	NF2 -/-
Masoprocol	Lipoxygenase	NF2 -/-
Masoprocol	Lipoxygenase	NF2 -/-
Masoprocol	Lipoxygenase	NF2 -/-
Masoprocol	Lipoxygenase	NF2 -/-
Masoprocol	Lipoxygenase	NF2 -/-
Masoprocol	Lipoxygenase	NF2 -/-
Metformin HCl	Mitochondrial resp chain	NF2-/-
Metformin HCl	Mitochondrial resp chain	NF2-/-
Metformin HCl	Mitochondrial resp chain	NF2-/-
Metformin HCl	Mitochondrial resp chain	NF2-/-
Metformin HCl	Mitochondrial resp chain	NF2-/-
Metformin HCl	Mitochondrial resp chain	NF2-/-
Metformin HCl	Mitochondrial resp chain	NF2-/-
Metformin HCl	Mitochondrial resp chain	NF2-/-
MGCD-265	c-Met, VEGFR	NF2-/-
MGCD-265	c-Met, VEGFR	NF2-/-
MGCD-265	c-Met, VEGFR	NF2-/-
MGCD-265	c-Met, VEGFR	NF2-/-
MGCD-265	c-Met, VEGFR	NF2-/-
MGCD-265	c-Met, VEGFR	NF2-/-
MGCD-265	c-Met, VEGFR	NF2-/-
MGCD-265	c-Met, VEGFR	NF2-/-
MGCD-265	c-Met, VEGFR	NF2-/-
MGCD-265	c-Met, VEGFR	NF2-/-
MGCD-265	c-Met, VEGFR	NF2-/-
MGCD-265	c-Met, VEGFR	NF2-/-
MGCD-265	c-Met, VEGFR	NF2-/-
MGCD-265	c-Met, VEGFR	NF2-/-
MGCD-265	c-Met, VEGFR	NF2-/-
MGCD-265	c-Met, VEGFR	NF2-/-
MGCD-265	c-Met, VEGFR	wt
MGCD-265	c-Met, VEGFR	wt
MGCD-265	c-Met, VEGFR	wt
MGCD-265	c-Met, VEGFR	wt
MGCD-265	c-Met, VEGFR	wt
MGCD-265	c-Met, VEGFR	wt
MGCD-265	c-Met, VEGFR	wt
MGCD-265	c-Met, VEGFR	wt
Naltrindole	OPRD1	NF2 -/-
Naltrindole	OPRD1	NF2 -/-
Naltrindole	OPRD1	NF2 -/-
Naltrindole	OPRD1	NF2 -/-
Naltrindole	OPRD1	NF2 -/-
Naltrindole	OPRD1	NF2 -/-
Naltrindole	OPRD1	NF2 -/-
Naltrindole	OPRD1	NF2 -/-
Naltrindole	OPRD1	NF2 -/-
Naltrindole	OPRD1	NF2 -/-
Naltrindole	OPRD1	NF2 -/-
Naltrindole	OPRD1	NF2 -/-
Naltrindole	OPRD1	NF2 -/-
Naltrindole	OPRD1	NF2 -/-
Naltrindole	OPRD1	NF2 -/-
Naltrindole	OPRD1	NF2 -/-
Neratinib	EGFR, Her2	NF2-/-
Neratinib	EGFR, Her2	NF2-/-
Neratinib	EGFR, Her2	NF2-/-
Neratinib	EGFR, Her2	NF2-/-
Neratinib	EGFR, Her2	NF2-/-
Neratinib	EGFR, Her2	NF2-/-
Neratinib	EGFR, Her2	NF2-/-
Neratinib	EGFR, Her2	NF2-/-
Neratinib	EGFR, Her2	NF2-/-
Neratinib	EGFR, Her2	NF2-/-
Neratinib	EGFR, Her2	NF2-/-
Neratinib	EGFR, Her2	NF2-/-
Neratinib	EGFR, Her2	NF2-/-
Neratinib	EGFR, Her2	NF2-/-
Neratinib	EGFR, Her2	NF2-/-
Neratinib	EGFR, Her2	wt
Neratinib	EGFR, Her2	wt
Neratinib	EGFR, Her2	wt
Neratinib	EGFR, Her2	wt
Neratinib	EGFR, Her2	wt
Neratinib	EGFR, Her2	wt
Neratinib	EGFR, Her2	wt
Nilotinib	Bcr-Abl	NF2 -/-
Nilotinib	Bcr-Abl	NF2 -/-
Nilotinib	Bcr-Abl	NF2 -/-
Nilotinib	Bcr-Abl	NF2 -/-
Nilotinib	Bcr-Abl	NF2 -/-
Nilotinib	Bcr-Abl	NF2 -/-
Nilotinib	Bcr-Abl	NF2 -/-
Nilotinib	Bcr-Abl	NF2 -/-
Nilotinib	Bcr-Abl	NF2 -/-
Nilotinib	Bcr-Abl	NF2 -/-
Nilotinib	Bcr-Abl	NF2 -/-
Nilotinib	Bcr-Abl	NF2 -/-
Nilotinib	Bcr-Abl	NF2 -/-
Nilotinib	Bcr-Abl	NF2 -/-
Nilotinib	Bcr-Abl	NF2 -/-
Nilotinib	Bcr-Abl	NF2 -/-
NVP-AEW541	IGF1R	NF2-/-
NVP-AEW541	IGF1R	NF2-/-
NVP-AEW541	IGF1R	NF2-/-
NVP-AEW541	IGF1R	NF2-/-
NVP-AEW541	IGF1R	NF2-/-
NVP-AEW541	IGF1R	NF2-/-
NVP-AEW541	IGF1R	NF2-/-
NVP-AEW541	IGF1R	NF2-/-
NVP-BGT226	PI3K, mTor	NF2 -/-
NVP-BGT226	PI3K, mTor	NF2 -/-
NVP-BGT226	PI3K, mTor	NF2 -/-
NVP-BGT226	PI3K, mTor	NF2 -/-
NVP-BGT226	PI3K, mTor	NF2 -/-
NVP-BGT226	PI3K, mTor	NF2 -/-
NVP-BGT226	PI3K, mTor	NF2 -/-
NVP-BGT226	PI3K, mTor	NF2 -/-
NVP-BGT226	PI3K, mTor	NF2 -/-
NVP-BGT226	PI3K, mTor	NF2 -/-
NVP-BGT226	PI3K, mTor	NF2 -/-
NVP-BGT226	PI3K, mTor	NF2 -/-
NVP-BGT226	PI3K, mTor	NF2 -/-
NVP-BGT226	PI3K, mTor	NF2 -/-
NVP-BGT226	PI3K, mTor	NF2 -/-
NVP-BGT226	PI3K, mTor	NF2 -/-
NVP-BGT226	PI3K, mTor	NF2-/-
NVP-BGT226	PI3K, mTor	NF2-/-
NVP-BGT226	PI3K, mTor	NF2-/-
NVP-BGT226	PI3K, mTor	NF2-/-
NVP-BGT226	PI3K, mTor	NF2-/-
NVP-BGT226	PI3K, mTor	NF2-/-
NVP-BGT226	PI3K, mTor	NF2-/-
NVP-BGT226	PI3K, mTor	NF2-/-
NVP-BGT226	PI3K, mTor	NF2-/-
NVP-BGT226	PI3K, mTor	NF2-/-
NVP-BGT226	PI3K, mTor	NF2-/-
NVP-BGT226	PI3K, mTor	NF2-/-
NVP-BGT226	PI3K, mTor	NF2-/-
NVP-BGT226	PI3K, mTor	NF2-/-
NVP-BGT226	PI3K, mTor	NF2-/-
NVP-BGT226	PI3K, mTor	NF2-/-
NVP-BGT226	PI3K, mTor	NF2-/-
NVP-BGT226	PI3K, mTor	NF2-/-
NVP-BGT226	PI3K, mTor	NF2-/-
NVP-BGT226	PI3K, mTor	NF2-/-
NVP-BGT226	PI3K, mTor	NF2-/-
NVP-BGT226	PI3K, mTor	NF2-/-
NVP-BGT226	PI3K, mTor	NF2-/-
NVP-BGT226	PI3K, mTor	NF2-/-
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
NVP-BGT226	PI3K, mTor	wt
Okadaic acid	Phosphatases Type 1, Type 2A	NF2 -/-
Okadaic acid	Phosphatases Type 1, Type 2A	NF2 -/-
Okadaic acid	Phosphatases Type 1, Type 2A	NF2 -/-
Okadaic acid	Phosphatases Type 1, Type 2A	NF2 -/-
Okadaic acid	Phosphatases Type 1, Type 2A	NF2 -/-
Okadaic acid	Phosphatases Type 1, Type 2A	NF2 -/-
Okadaic acid	Phosphatases Type 1, Type 2A	NF2 -/-
Okadaic acid	Phosphatases Type 1, Type 2A	NF2 -/-
Okadaic acid	Phosphatases Type 1, Type 2A	NF2 -/-
Okadaic acid	Phosphatases Type 1, Type 2A	NF2 -/-
Okadaic acid	Phosphatases Type 1, Type 2A	NF2 -/-
Okadaic acid	Phosphatases Type 1, Type 2A	NF2 -/-
Okadaic acid	Phosphatases Type 1, Type 2A	NF2 -/-
Okadaic acid	Phosphatases Type 1, Type 2A	NF2 -/-
Okadaic acid	Phosphatases Type 1, Type 2A	NF2 -/-
Okadaic acid	Phosphatases Type 1, Type 2A	NF2 -/-
Panobinostat	HDAC	NF2-/-
Panobinostat	HDAC	NF2-/-
Panobinostat	HDAC	NF2-/-
Panobinostat	HDAC	NF2-/-
Panobinostat	HDAC	NF2-/-
Panobinostat	HDAC	NF2-/-
Panobinostat	HDAC	NF2-/-
Panobinostat	HDAC	NF2-/-
Pazopanib	VEGFR, PDGFR	NF2-/-
Pazopanib	VEGFR, PDGFR	NF2-/-
Pazopanib	VEGFR, PDGFR	NF2-/-
Pazopanib	VEGFR, PDGFR	NF2-/-
Pazopanib	VEGFR, PDGFR	NF2-/-
Pazopanib	VEGFR, PDGFR	NF2-/-
Pazopanib	VEGFR, PDGFR	NF2-/-
Pazopanib	VEGFR, PDGFR	NF2-/-
PCI-34051	HDAC	NF2-/-
PCI-34051	HDAC	NF2-/-
PCI-34051	HDAC	NF2-/-
PCI-34051	HDAC	NF2-/-
PCI-34051	HDAC	NF2-/-
PCI-34051	HDAC	NF2-/-
PCI-34051	HDAC	NF2-/-
PCI-34051	HDAC	NF2-/-
PF-03758309	PAK4	NF2 -/-
PF-03758309	PAK4	NF2 -/-
PF-03758309	PAK4	NF2 -/-
PF-03758309	PAK4	NF2 -/-
PF-03758309	PAK4	NF2 -/-
PF-03758309	PAK4	NF2 -/-
PF-03758309	PAK4	NF2 -/-
PF-03758309	PAK4	NF2 -/-
PF-03758309	PAK4	NF2 -/-
PF-03758309	PAK4	NF2 -/-
PF-03758309	PAK4	NF2 -/-
PF-03758309	PAK4	NF2 -/-
PF-03758309	PAK4	NF2 -/-
PF-03758309	PAK4	NF2 -/-
PF-03758309	PAK4	NF2 -/-
PF-03758309	PAK4	NF2 -/-
PF-04929113	HSP90	NF2-/-
PF-04929113	HSP90	NF2-/-
PF-04929113	HSP90	NF2-/-
PF-04929113	HSP90	NF2-/-
PF-04929113	HSP90	NF2-/-
PF-04929113	HSP90	NF2-/-
PF-04929113	HSP90	NF2-/-
PF-04929113	HSP90	NF2-/-
QNZ (EVP4593)	NFKB	NF2-/-
QNZ (EVP4593)	NFKB	NF2-/-
QNZ (EVP4593)	NFKB	NF2-/-
QNZ (EVP4593)	NFKB	NF2-/-
QNZ (EVP4593)	NFKB	NF2-/-
QNZ (EVP4593)	NFKB	NF2-/-
QNZ (EVP4593)	NFKB	NF2-/-
QNZ (EVP4593)	NFKB	NF2-/-
R428 (BGB324)	Axl	NF2-/-
R428 (BGB324)	Axl	NF2-/-
R428 (BGB324)	Axl	NF2-/-
R428 (BGB324)	Axl	NF2-/-
R428 (BGB324)	Axl	NF2-/-
R428 (BGB324)	Axl	NF2-/-
R428 (BGB324)	Axl	NF2-/-
R428 (BGB324)	Axl	NF2-/-
R428 (BGB324)	Axl	NF2-/-
R428 (BGB324)	Axl	NF2-/-
R428 (BGB324)	Axl	NF2-/-
R428 (BGB324)	Axl	NF2-/-
R428 (BGB324)	Axl	NF2-/-
R428 (BGB324)	Axl	NF2-/-
R428 (BGB324)	Axl	NF2-/-
R428 (BGB324)	Axl	NF2-/-
R428 (BGB324)	Axl	wt
R428 (BGB324)	Axl	wt
R428 (BGB324)	Axl	wt
R428 (BGB324)	Axl	wt
R428 (BGB324)	Axl	wt
R428 (BGB324)	Axl	wt
R428 (BGB324)	Axl	wt
R428 (BGB324)	Axl	wt
Rocilinostat	HDAC	NF2-/-
Rocilinostat	HDAC	NF2-/-
Rocilinostat	HDAC	NF2-/-
Rocilinostat	HDAC	NF2-/-
Rocilinostat	HDAC	NF2-/-
Rocilinostat	HDAC	NF2-/-
Rocilinostat	HDAC	NF2-/-
Rocilinostat	HDAC	NF2-/-
SB 747651A dihydrochloride	MSK, PKA, PKB	NF2-/-
SB 747651A dihydrochloride	MSK, PKA, PKB	NF2-/-
SB 747651A dihydrochloride	MSK, PKA, PKB	NF2-/-
SB 747651A dihydrochloride	MSK, PKA, PKB	NF2-/-
SB 747651A dihydrochloride	MSK, PKA, PKB	NF2-/-
SB 747651A dihydrochloride	MSK, PKA, PKB	NF2-/-
SB 747651A dihydrochloride	MSK, PKA, PKB	NF2-/-
SB 747651A dihydrochloride	MSK, PKA, PKB	NF2-/-
SB431542	RSTK	NF2-/-
SB431542	RSTK	NF2-/-
SB431542	RSTK	NF2-/-
SB431542	RSTK	NF2-/-
SB431542	RSTK	NF2-/-
SB431542	RSTK	NF2-/-
SB431542	RSTK	NF2-/-
SB431542	RSTK	NF2-/-
SGI-1776	PIM1	NF2-/-
SGI-1776	PIM1	NF2-/-
SGI-1776	PIM1	NF2-/-
SGI-1776	PIM1	NF2-/-
SGI-1776	PIM1	NF2-/-
SGI-1776	PIM1	NF2-/-
SGI-1776	PIM1	NF2-/-
SGI-1776	PIM1	NF2-/-
SGX-523	c-Met	NF2-/-
SGX-523	c-Met	NF2-/-
SGX-523	c-Met	NF2-/-
SGX-523	c-Met	NF2-/-
SGX-523	c-Met	NF2-/-
SGX-523	c-Met	NF2-/-
SGX-523	c-Met	NF2-/-
SGX-523	c-Met	NF2-/-
Sorafenib	Raf-1, BRAF, VEGFR-2	NF2 -/-
Sorafenib	Raf-1, BRAF, VEGFR-2	NF2 -/-
Sorafenib	Raf-1, BRAF, VEGFR-2	NF2 -/-
Sorafenib	Raf-1, BRAF, VEGFR-2	NF2 -/-
Sorafenib	Raf-1, BRAF, VEGFR-2	NF2 -/-
Sorafenib	Raf-1, BRAF, VEGFR-2	NF2 -/-
Sorafenib	Raf-1, BRAF, VEGFR-2	NF2 -/-
Sorafenib	Raf-1, BRAF, VEGFR-2	NF2 -/-
Sorafenib	Raf-1, BRAF, VEGFR-2	NF2 -/-
Sorafenib	Raf-1, BRAF, VEGFR-2	NF2 -/-
Sorafenib	Raf-1, BRAF, VEGFR-2	NF2 -/-
Sorafenib	Raf-1, BRAF, VEGFR-2	NF2 -/-
Sorafenib	Raf-1, BRAF, VEGFR-2	NF2 -/-
Sorafenib	Raf-1, BRAF, VEGFR-2	NF2 -/-
Sorafenib	Raf-1, BRAF, VEGFR-2	NF2 -/-
Sorafenib	Raf-1, BRAF, VEGFR-2	NF2 -/-
SU11274	c-Met	NF2-/-
SU11274	c-Met	NF2-/-
SU11274	c-Met	NF2-/-
SU11274	c-Met	NF2-/-
SU11274	c-Met	NF2-/-
SU11274	c-Met	NF2-/-
SU11274	c-Met	NF2-/-
SU11274	c-Met	NF2-/-
SU11274	c-Met	NF2-/-
SU11274	c-Met	NF2-/-
SU11274	c-Met	NF2-/-
SU11274	c-Met	NF2-/-
SU11274	c-Met	NF2-/-
SU11274	c-Met	NF2-/-
SU11274	c-Met	NF2-/-
SU11274	c-Met	NF2-/-
SU11274	c-Met	wt
SU11274	c-Met	wt
SU11274	c-Met	wt
SU11274	c-Met	wt
SU11274	c-Met	wt
SU11274	c-Met	wt
SU11274	c-Met	wt
SU11274	c-Met	wt
Tandutinib	FLT3, PDGFR, c-Kit	NF2-/-
Tandutinib	FLT3, PDGFR, c-Kit	NF2-/-
Tandutinib	FLT3, PDGFR, c-Kit	NF2-/-
Tandutinib	FLT3, PDGFR, c-Kit	NF2-/-
Tandutinib	FLT3, PDGFR, c-Kit	NF2-/-
Tandutinib	FLT3, PDGFR, c-Kit	NF2-/-
Tandutinib	FLT3, PDGFR, c-Kit	NF2-/-
Tandutinib	FLT3, PDGFR, c-Kit	NF2-/-
TCS 359	FLT3	NF2-/-
TCS 359	FLT3	NF2-/-
TCS 359	FLT3	NF2-/-
TCS 359	FLT3	NF2-/-
TCS 359	FLT3	NF2-/-
TCS 359	FLT3	NF2-/-
TCS 359	FLT3	NF2-/-
TCS 359	FLT3	NF2-/-
TSU-68 (SU6668)	PDGFR, Flk-1, FGFR1	NF2-/-
TSU-68 (SU6668)	PDGFR, Flk-1, FGFR1	NF2-/-
TSU-68 (SU6668)	PDGFR, Flk-1, FGFR1	NF2-/-
TSU-68 (SU6668)	PDGFR, Flk-1, FGFR1	NF2-/-
TSU-68 (SU6668)	PDGFR, Flk-1, FGFR1	NF2-/-
TSU-68 (SU6668)	PDGFR, Flk-1, FGFR1	NF2-/-
TSU-68 (SU6668)	PDGFR, Flk-1, FGFR1	NF2-/-
TSU-68 (SU6668)	PDGFR, Flk-1, FGFR1	NF2-/-
untreated		wt
untreated		wt
untreated		wt
untreated		wt
Vandetanib	VEGFR, EGFR	NF2-/-
Vandetanib	VEGFR, EGFR	NF2-/-
Vandetanib	VEGFR, EGFR	NF2-/-
Vandetanib	VEGFR, EGFR	NF2-/-
Vandetanib	VEGFR, EGFR	NF2-/-
Vandetanib	VEGFR, EGFR	NF2-/-
Vandetanib	VEGFR, EGFR	NF2-/-
Vandetanib	VEGFR, EGFR	NF2-/-
XL765	PI3K	NF2-/-
XL765	PI3K	NF2-/-
XL765	PI3K	NF2-/-
XL765	PI3K	NF2-/-
XL765	PI3K	NF2-/-
XL765	PI3K	NF2-/-
XL765	PI3K	NF2-/-
XL765	PI3K	NF2-/-
XL765	PI3K	NF2-/-
XL765	PI3K	NF2-/-
XL765	PI3K	NF2-/-
XL765	PI3K	NF2-/-
XL765	PI3K	NF2-/-
XL765	PI3K	NF2-/-
XL765	PI3K	NF2-/-
XL765	PI3K	NF2-/-
XL765	PI3K	wt
XL765	PI3K	wt
XL765	PI3K	wt
XL765	PI3K	wt
XL765	PI3K	wt
XL765	PI3K	wt
XL765	PI3K	wt
XL765	PI3K	wt
